column,missing_count,missing_pct
volatility_60d,694,3.5237369890835235
volatility_60d_ann,694,3.5237369890835235
volatility_20d_ann,251,1.2744351358212744
volatility_20d,251,1.2744351358212744
volatility_5d,71,0.3604975882203605
volatility_5d_ann,71,0.3604975882203605
log_return_1d,23,0.11678090886011677
oc_gap,23,0.11678090886011677
return_20d,20,0.10154861640010156
volume,11,0.05585173902005585
price_used,11,0.05585173902005585
close,11,0.05585173902005585
low,11,0.05585173902005585
high,11,0.05585173902005585
open,11,0.05585173902005585
hl_range,11,0.05585173902005585
adj_close,11,0.05585173902005585
co_return,11,0.05585173902005585
return_5d,5,0.02538715410002539
return_1d,1,0.005077430820005077
date,0,0.0
asset,0,0.0
ticker,0,0.0
vix_fred,0,0.0
dgs10,0,0.0
dgs2,0,0.0
term_spread_10y_2y,0,0.0
fedfunds,0,0.0
cpi,0,0.0
unemployment,0,0.0
dollar_index,0,0.0
